# BEAST v10.5.0
# Generated Mon Mar 02 11:21:16 PST 2026 [seed=666]
# -seed 666 -overwrite /Users/perry/Desktop/phylogenetics/RABV_control.xml
state	geo_attr.rates.BE.BF	geo_attr.rates.BE.Bu	geo_attr.rates.BE.CA	geo_attr.rates.BE.GU	geo_attr.rates.BE.HA	geo_attr.rates.BE.IC	geo_attr.rates.BE.MA	geo_attr.rates.BE.NI	geo_attr.rates.BE.RC	geo_attr.rates.BE.SE	geo_attr.rates.BE.SL	geo_attr.rates.BE.TC	geo_attr.rates.BF.Bu	geo_attr.rates.BF.CA	geo_attr.rates.BF.GU	geo_attr.rates.BF.HA	geo_attr.rates.BF.IC	geo_attr.rates.BF.MA	geo_attr.rates.BF.NI	geo_attr.rates.BF.RC	geo_attr.rates.BF.SE	geo_attr.rates.BF.SL	geo_attr.rates.BF.TC	geo_attr.rates.Bu.CA	geo_attr.rates.Bu.GU	geo_attr.rates.Bu.HA	geo_attr.rates.Bu.IC	geo_attr.rates.Bu.MA	geo_attr.rates.Bu.NI	geo_attr.rates.Bu.RC	geo_attr.rates.Bu.SE	geo_attr.rates.Bu.SL	geo_attr.rates.Bu.TC	geo_attr.rates.CA.GU	geo_attr.rates.CA.HA	geo_attr.rates.CA.IC	geo_attr.rates.CA.MA	geo_attr.rates.CA.NI	geo_attr.rates.CA.RC	geo_attr.rates.CA.SE	geo_attr.rates.CA.SL	geo_attr.rates.CA.TC	geo_attr.rates.GU.HA	geo_attr.rates.GU.IC	geo_attr.rates.GU.MA	geo_attr.rates.GU.NI	geo_attr.rates.GU.RC	geo_attr.rates.GU.SE	geo_attr.rates.GU.SL	geo_attr.rates.GU.TC	geo_attr.rates.HA.IC	geo_attr.rates.HA.MA	geo_attr.rates.HA.NI	geo_attr.rates.HA.RC	geo_attr.rates.HA.SE	geo_attr.rates.HA.SL	geo_attr.rates.HA.TC	geo_attr.rates.IC.MA	geo_attr.rates.IC.NI	geo_attr.rates.IC.RC	geo_attr.rates.IC.SE	geo_attr.rates.IC.SL	geo_attr.rates.IC.TC	geo_attr.rates.MA.NI	geo_attr.rates.MA.RC	geo_attr.rates.MA.SE	geo_attr.rates.MA.SL	geo_attr.rates.MA.TC	geo_attr.rates.NI.RC	geo_attr.rates.NI.SE	geo_attr.rates.NI.SL	geo_attr.rates.NI.TC	geo_attr.rates.RC.SE	geo_attr.rates.RC.SL	geo_attr.rates.RC.TC	geo_attr.rates.SE.SL	geo_attr.rates.SE.TC	geo_attr.rates.SL.TC
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1000	0.8843663193139455	0.5025152148777376	0.7195004064719105	1.2715411642364844	1.049639378003345	0.6979033512997657	0.7145325671663759	1.23223431228514	0.5246150106473466	1.0848550494939375	1.1377000018858676	0.8486197265893376	0.8867061230038077	1.0150553348614653	1.1544750948186902	0.8829584680750594	0.7984136778549024	1.2399806995296143	0.5736265600433708	1.1315565715634865	1.1004914093611335	0.7869431329327653	1.2191869375283404	1.5244457021118303	1.092289061678072	0.9023679408119053	1.0701272292919628	1.3373279964189577	1.670294330121062	1.0647154435261852	1.7939985388946402	1.0486542711311224	0.7078805273038745	0.8022404267684641	1.20076665021672	0.8431484977866035	0.6859595620438125	0.9608138013653427	1.9867766287943558	0.7468555671460255	1.227121679053122	1.2311552001768138	1.1892285717140554	1.2357488422214604	1.5073683831817624	0.6919653021346288	0.712180550778762	1.0698458080065534	1.1143321007454112	1.7473903326270606	0.927012115332564	0.8185837417567067	0.936779791061868	0.7954692942666244	0.9168855120441237	1.319121626909444	0.9792755248003343	1.3151805331656228	0.7604345708022259	1.0975222107356208	1.5999588704366057	1.101557171452752	1.3298077741197216	1.1898083770730583	0.9727901716473818	0.8335919081246249	0.7464590117621414	1.255481267575522	0.9162886062424533	0.9416034804806162	0.9224536455407901	0.6656076234182926	1.7305925398566597	1.0350284913435237	1.3028046399731716	0.7517269037530724	1.8854717060380932	0.7085367035054705
2000	0.8843663193139455	0.5025152148777376	0.7195004064719105	1.2715411642364844	1.049639378003345	0.6979033512997657	0.7145325671663759	1.23223431228514	0.5246150106473466	1.0848550494939375	1.1377000018858676	0.8486197265893376	0.8867061230038077	1.0150553348614653	1.1544750948186902	0.8829584680750594	0.7984136778549024	1.2399806995296143	0.5736265600433708	1.1315565715634865	1.1004914093611335	0.7869431329327653	1.2191869375283404	1.5244457021118303	1.092289061678072	0.9023679408119053	1.0701272292919628	1.3373279964189577	1.670294330121062	1.0647154435261852	1.7939985388946402	1.0486542711311224	0.7078805273038745	0.8022404267684641	1.20076665021672	0.8431484977866035	0.6859595620438125	0.9608138013653427	1.9867766287943558	0.7468555671460255	1.227121679053122	1.2311552001768138	1.1892285717140554	1.2357488422214604	1.5073683831817624	0.6919653021346288	0.712180550778762	1.0698458080065534	1.1143321007454112	1.7473903326270606	0.927012115332564	0.8185837417567067	0.936779791061868	0.7954692942666244	0.9168855120441237	1.319121626909444	0.9792755248003343	1.3151805331656228	0.7604345708022259	1.0975222107356208	1.5999588704366057	1.101557171452752	1.3298077741197216	1.1898083770730583	0.9727901716473818	0.8335919081246249	0.7464590117621414	1.255481267575522	0.9162886062424533	0.9416034804806162	0.9224536455407901	0.6656076234182926	1.7305925398566597	1.0350284913435237	1.3028046399731716	0.7517269037530724	1.8854717060380932	0.7085367035054705
3000	0.5283094525960539	0.3717603482031762	0.6044772375983772	0.8139328527578749	1.763997540413706	1.0363027970210137	0.7910602395015288	1.9613550741952792	0.38305211603646394	0.8328601933885381	1.3098390605971846	0.6784465094882869	0.9258414204951868	0.5854289761924044	0.9387611286227195	0.5335103314054539	1.0951962167774314	1.4463505922110373	0.8088872706089965	1.106023792965341	0.8402387151214674	1.1549392154070295	0.9679545787588058	0.861689310742111	1.3909594568045272	1.1636550898540836	1.0914684319336525	1.3502172906214023	2.2092689323463004	1.0368074870960886	1.9919224371543893	1.1046769910316874	0.6814431209575594	0.844380528796009	1.0646279756386832	0.7944792065046365	0.7750714907139445	0.9345738738863353	1.2593806591363057	0.9061563910250399	1.937156755250648	1.0594931157429246	1.056822747914018	0.8431069052198125	1.6550345634584116	1.0593507915720493	1.1796640383359054	0.6562032916182848	1.001294353471655	1.5729692149490508	0.883413174719653	1.3576440904083211	0.7756286099418749	1.0098662139013492	0.7078224335713477	1.4164473034469913	1.232233583481381	1.3050681666507646	0.7094494411807852	1.1758475373879391	2.354596447118113	0.8860334701313193	1.9789380909713723	1.0165164786337209	1.252794625778949	0.8618497811595256	1.1693134011689768	1.9155561277736337	0.7213440312248633	0.8542950293018521	0.6527832190886713	0.6421598419854057	0.9128004434680984	1.4510583453150017	1.019728434289675	0.9316688014422044	1.5577790647103442	0.7852327623483295
4000	0.5283094525960539	0.3717603482031762	0.6044772375983772	0.8139328527578749	1.763997540413706	1.0363027970210137	0.7910602395015288	1.9613550741952792	0.38305211603646394	0.8328601933885381	1.3098390605971846	0.6784465094882869	0.9258414204951868	0.5854289761924044	0.9387611286227195	0.5335103314054539	1.0951962167774314	1.4463505922110373	0.8088872706089965	1.106023792965341	0.8402387151214674	1.1549392154070295	0.9679545787588058	0.861689310742111	1.3909594568045272	1.1636550898540836	1.0914684319336525	1.3502172906214023	2.2092689323463004	1.0368074870960886	1.9919224371543893	1.1046769910316874	0.6814431209575594	0.844380528796009	1.0646279756386832	0.7944792065046365	0.7750714907139445	0.9345738738863353	1.2593806591363057	0.9061563910250399	1.937156755250648	1.0594931157429246	1.056822747914018	0.8431069052198125	1.6550345634584116	1.0593507915720493	1.1796640383359054	0.6562032916182848	1.001294353471655	1.5729692149490508	0.883413174719653	1.3576440904083211	0.7756286099418749	1.0098662139013492	0.7078224335713477	1.4164473034469913	1.232233583481381	1.3050681666507646	0.7094494411807852	1.1758475373879391	2.354596447118113	0.8860334701313193	1.9789380909713723	1.0165164786337209	1.252794625778949	0.8618497811595256	1.1693134011689768	1.9155561277736337	0.7213440312248633	0.8542950293018521	0.6527832190886713	0.6421598419854057	0.9128004434680984	1.4510583453150017	1.019728434289675	0.9316688014422044	1.5577790647103442	0.7852327623483295
5000	0.6711381835880834	0.4569342354466075	0.616032281942149	0.7580818958504207	1.4604728942293381	0.8963765002279078	0.6643609215886228	2.355469865196253	0.47605217824575197	0.8358368454399039	1.167170337075918	0.8418027575520023	0.7987744497255963	0.4767491573660085	0.7787801182626559	0.6979629742409141	0.8841984897931047	1.6526428045454766	0.7864006954152423	0.9888697378406001	0.9182202934909234	0.8926839999953882	0.765978867029827	0.7276903212423753	1.755533985676854	1.1091961197312583	0.8984323560153246	1.7379414563286149	1.863181618704296	1.0342629435554995	2.3548689297309795	0.9402444569995662	0.6784815786148809	0.6984605463917375	1.4190236949384107	0.94303289549908	0.6304720933342911	0.7228152743956078	1.6709996626114485	1.0166166606388674	1.644169435843615	1.1687600419100566	1.20314424681663	0.7913604859137542	1.786355107212741	1.3341573653504057	1.2450733395068614	0.5582240277310893	0.8810158506016096	1.9006608110100838	0.7700220312391719	1.1340685954517111	0.7924150670868865	0.783508554437849	0.5629102012330698	1.7055237191931822	1.2549798746910923	1.2942942126620505	0.7699917094450596	1.2702200616362338	2.474090371517304	0.8543104889281943	2.1030857168616066	0.9815764790138629	1.1510626785296354	0.9005589491910483	1.5292664301730432	1.674035454919387	0.8067776914875397	0.9103330134986842	0.7598445150154239	0.8032908540516039	0.8068044431433636	1.341962222414545	1.0539119352631474	1.187988508743405	1.4994766417925465	0.9499821002560936
6000	0.49233779098759733	0.425181164334682	0.557277488074565	0.7602126311791824	1.4104938206769462	0.7824938606957095	1.056032533217533	2.140623613199422	0.664715809522069	1.1385520058873808	0.9957570991857665	0.9194092644797726	0.600113453351376	0.6471247537630744	0.499202092769115	0.5343920286068947	0.8683665710766115	1.7127867965047336	0.8173545885005352	1.1212185782787578	0.9062010002977785	0.7321547013757329	0.8118055940506455	0.8455080786954496	1.99750315909445	1.2352658457512207	0.5722934865944242	1.8096647291113488	1.8334198039326033	0.8949955568501172	2.0767574985443633	0.8130018058028222	0.872688514524101	0.7333651337149523	1.9837265708355345	0.7065635127466503	0.9122380297211926	0.9850124352939276	1.7354287341553656	0.7342967431160144	1.8638112467870656	1.1144791078698462	1.7226163693307819	0.9615671247929634	1.6673413780218664	1.2807952027354907	1.0891291804199508	0.5721618925092312	0.7902662344368522	2.3766234841048037	0.7199715126030773	1.0043078120726927	0.7952635092462327	0.6195691074376424	0.4933162212514893	1.2613421718496969	1.172634836107481	1.3759715455907524	0.9260399202561854	1.3687929147054025	1.9945384015010212	0.5688019305833002	2.72353409677313	0.647734397536425	1.1856386199750193	0.6709021762979722	1.296427925329032	1.6438732996772996	0.7671192405473314	1.213047016241657	0.7942215174423002	0.9310225675104906	0.9877377505962656	1.2327379403408396	0.8512782386277931	1.198181032285793	1.9039252535843587	0.9481137328958986
7000	0.5161489622836138	0.36827049512364807	0.43860779970440555	1.2013526711818716	1.2754872920293707	1.226408840766207	1.0285875012093078	2.382389871157391	1.091581963959399	0.6704118116599395	0.8091729750461782	0.9370080916771848	0.5207018362526792	0.7424776888904079	0.4172989726263477	0.523008406773696	1.0415635336271842	1.381686099716266	0.7471382003087331	1.0681478152275512	0.7439344495101947	0.5656180629700164	1.0499481926176346	0.9398204313638391	1.3919026166408677	1.1695249307821576	0.43269642674650843	1.182282073290996	2.7730302244079383	1.028113072775192	2.139920980316674	1.1695606919854564	0.5581856148244932	1.155713711153534	2.694244325996702	0.6186934063544588	0.9484459936949573	1.2787618921074972	1.861441067609931	0.6236732621245308	1.5789826325325158	0.7443583564589208	1.4508174072579654	1.0858957539954706	1.0866053829392854	1.426164516945635	1.1559093715450226	0.5351025487104402	1.071099127215308	1.74358022158824	1.0146654016654362	1.477864489235183	0.94272499710152	0.8342293631202854	0.4462495956474881	0.8667855533996046	1.5410894365433698	1.1002131479075694	1.3205597465457726	1.6629843045221573	1.6032962885046975	0.5944532400886917	3.4933880464183975	0.5930441443343759	1.4135241144952106	0.6562562999251905	0.9108355554832881	1.7910742793161114	0.8909831740510855	1.0315654787870772	1.123102922543839	1.2129132573129182	1.4805914792948183	1.3835434820976955	1.0100561301845674	1.0473388775570545	1.692369428634043	0.772924563175237
8000	0.5161489622836138	0.36827049512364807	0.43860779970440555	1.2013526711818716	1.2754872920293707	1.226408840766207	1.0285875012093078	2.382389871157391	1.091581963959399	0.6704118116599395	0.8091729750461782	0.9370080916771848	0.5207018362526792	0.7424776888904079	0.4172989726263477	0.523008406773696	1.0415635336271842	1.381686099716266	0.7471382003087331	1.0681478152275512	0.7439344495101947	0.5656180629700164	1.0499481926176346	0.9398204313638391	1.3919026166408677	1.1695249307821576	0.43269642674650843	1.182282073290996	2.7730302244079383	1.028113072775192	2.139920980316674	1.1695606919854564	0.5581856148244932	1.155713711153534	2.694244325996702	0.6186934063544588	0.9484459936949573	1.2787618921074972	1.861441067609931	0.6236732621245308	1.5789826325325158	0.7443583564589208	1.4508174072579654	1.0858957539954706	1.0866053829392854	1.426164516945635	1.1559093715450226	0.5351025487104402	1.071099127215308	1.74358022158824	1.0146654016654362	1.477864489235183	0.94272499710152	0.8342293631202854	0.4462495956474881	0.8667855533996046	1.5410894365433698	1.1002131479075694	1.3205597465457726	1.6629843045221573	1.6032962885046975	0.5944532400886917	3.4933880464183975	0.5930441443343759	1.4135241144952106	0.6562562999251905	0.9108355554832881	1.7910742793161114	0.8909831740510855	1.0315654787870772	1.123102922543839	1.2129132573129182	1.4805914792948183	1.3835434820976955	1.0100561301845674	1.0473388775570545	1.692369428634043	0.772924563175237
9000	0.5161489622836138	0.36827049512364807	0.43860779970440555	1.2013526711818716	1.2754872920293707	1.226408840766207	1.0285875012093078	2.382389871157391	1.091581963959399	0.6704118116599395	0.8091729750461782	0.9370080916771848	0.5207018362526792	0.7424776888904079	0.4172989726263477	0.523008406773696	1.0415635336271842	1.381686099716266	0.7471382003087331	1.0681478152275512	0.7439344495101947	0.5656180629700164	1.0499481926176346	0.9398204313638391	1.3919026166408677	1.1695249307821576	0.43269642674650843	1.182282073290996	2.7730302244079383	1.028113072775192	2.139920980316674	1.1695606919854564	0.5581856148244932	1.155713711153534	2.694244325996702	0.6186934063544588	0.9484459936949573	1.2787618921074972	1.861441067609931	0.6236732621245308	1.5789826325325158	0.7443583564589208	1.4508174072579654	1.0858957539954706	1.0866053829392854	1.426164516945635	1.1559093715450226	0.5351025487104402	1.071099127215308	1.74358022158824	1.0146654016654362	1.477864489235183	0.94272499710152	0.8342293631202854	0.4462495956474881	0.8667855533996046	1.5410894365433698	1.1002131479075694	1.3205597465457726	1.6629843045221573	1.6032962885046975	0.5944532400886917	3.4933880464183975	0.5930441443343759	1.4135241144952106	0.6562562999251905	0.9108355554832881	1.7910742793161114	0.8909831740510855	1.0315654787870772	1.123102922543839	1.2129132573129182	1.4805914792948183	1.3835434820976955	1.0100561301845674	1.0473388775570545	1.692369428634043	0.772924563175237
